arlS
Quinolone resistance transporter
UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
Undecaprenyl-diphosphatase
Staphyloferrin B transporter
Tetracycline repressor protein class B from transposon Tn10
Elongation factor Tu 1
multidrug efflux RND transporter permease subunit OqxB22
Bleomycin resistance protein
DNA gyrase subunit A
Putative fluoride ion transporter CrcB
Response regulator ArlR
D-inositol-3-phosphate glycosyltransferase
Fatty acid resistance protein FarB
Sensor protein QseC
D-alanyl-D-alanine carboxypeptidase
Multidrug resistance protein MdtA
multidrug efflux RND transporter permease subunit OqxB20
multidrug efflux RND transporter permease subunit OqxB4
hypothetical protein
Transcriptional regulatory protein SrrA
D-alanine--D-alanine ligase A
Phosphoethanolamine transferase EptA
Oxygen-insensitive NADPH nitroreductase
phosphoethanolamine--lipid A transferase MCR-1.2
Beta-lactamase CTX-M-97
phosphoethanolamine--lipid A transferase MCR-1.1
multidrug efflux RND transporter permease subunit OqxB6
Isoleucine--tRNA ligase
Carbapenem-hydrolyzing beta-lactamase KPC
HTH-type transcriptional regulator HmrR
IS1595 family transposase ISSsu9
Elongation factor G
N-acetyl-alpha-D-glucosaminyl L-malate synthase
multidrug efflux RND transporter permease subunit OqxB10
tetracycline resistance ribosomal protection protein Tet(M)
Toluene efflux pump outer membrane protein TtgF
Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
putative FMN/FAD exporter YeeO
multidrug efflux RND transporter permease subunit OqxB
Sensor protein EvgS
Fosfomycin resistance protein FosX
Lincosamide resistance protein
Beta-lactamase OXA-10
Multiple antibiotic resistance protein MarA
HTH-type transcriptional regulator DmlR
Aminoglycoside 3'-phosphotransferase
Multidrug export protein AcrE
putative efflux pump outer membrane protein TtgC
Bifunctional AAC/APH
Cation efflux system protein CusC
Multidrug resistance protein MexA
Sensor protein KdpD
multidrug efflux RND transporter permease subunit OqxB27
Sec translocon accessory complex subunit YajC
Fosfomycin resistance protein AbaF
Sensor histidine kinase CpxA
Outer membrane porin N
Translational regulator CsrA
Multidrug resistance protein MdtK
Multidrug transporter EmrE
phosphoethanolamine--lipid A transferase MCR-9.1
Multidrug resistance efflux pump SepA
phosphoethanolamine--lipid A transferase MCR-3.4
rRNA adenine N-6-methyltransferase
D-lactate dehydrogenase
16S rRNA (guanine(1405)-N(7))-methyltransferase
multidrug efflux RND transporter permease subunit OqxB17
Aminoglycoside N(6')-acetyltransferase type 1
Alanine racemase
chloramphenicol efflux MFS transporter CmlA4
Gentamicin 3-N-acetyltransferase
Methicillin resistance regulatory protein MecI
"Alanine racemase, biosynthetic"
Bicyclomycin resistance protein
HTH-type transcriptional regulator LeuO
Streptothricin acetyltransferase A
HTH-type transcriptional repressor BepR
multidrug efflux RND transporter permease subunit OqxB9
Dihydrofolate reductase type 2
Flavin-dependent monooxygenase
dTDP-fucosamine acetyltransferase
beta-lactam sensor/signal transducer MecR1
Methyl viologen resistance protein SmvA
Spermidine export protein MdtI
Imipenem-hydrolyzing beta-lactamase
HTH-type transcriptional regulator AcrR
Transcriptional regulatory protein BaeR
Hygromycin-B 4-O-kinase
multidrug efflux RND transporter permease subunit OqxB32
lincomycin resistance ABC-F type ribosomal protection protein
Toluene efflux pump outer membrane protein TtgI
phosphoethanolamine--lipid A transferase MCR-8.1
Dihydrofolate reductase
multidrug efflux RND transporter permease subunit OqxB26
Vancomycin B-type resistance protein VanW
Multidrug transporter
DNA topoisomerase 4 subunit A
PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA
Phosphatidylglycerol lysyltransferase
Multidrug transporter MdfA
Sensor protein RstB
multidrug efflux RND transporter permease subunit OqxB16
chloramphenicol efflux MFS transporter CmlA5
multidrug efflux RND transporter permease subunit OqxB25
Spore coat protein SA
Chloramphenicol acetyltransferase 2
Beta-lactamase OXY-2
putative multidrug resistance protein EmrY
mupirocin-resistant isoleucine--tRNA ligase MupA
Beta-lactamase SHV-2
Multidrug export protein AcrF
ABC-F type ribosomal protection protein Msr(E)
Signal transduction histidine-protein kinase ArlS
Nodulation protein D 2
SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
Quaternary ammonium compound-resistance protein QacC
cAMP-activated global transcriptional regulator CRP
Glycerol-3-phosphate transporter
Multidrug resistance protein EbrA
Multidrug export protein EmrA
fluoroquinolone efflux MFS transporter QepA4
Beta-lactamase OXA-18
Multidrug resistance protein MdtH
Adenylate cyclase
Multidrug resistance protein MdtO
multidrug efflux RND transporter permease subunit OqxB5
Multidrug resistance protein MexB
HTH-type transcriptional regulator GadW
Outer membrane protein OprM
Transcriptional regulatory protein RstA
Streptomycin 3''-adenylyltransferase
Multidrug resistance protein NorM
Multidrug efflux pump SdrM
Outer membrane protein OprJ
Regulatory protein SoxS
Beta-lactamase OXY-1
Adaptive-response sensory-kinase SasA
ABC transporter ATP-binding/permease protein YojI
Beta-lactamase OXA-133
Membrane-bound lytic murein transglycosylase F
Chloramphenicol acetyltransferase
Beta-lactamase PSE-1
L-threonine 3-dehydrogenase
Transcriptional regulatory protein CpxR
Alanine racemase 1
Swarming motility protein SwrC
Beta-lactamase TEM-12
Beta-lactamase SHV-3
Dihydropteroate synthase
multidrug efflux RND transporter permease subunit OqxB28
multidrug efflux RND transporter permease subunit OqxB8
Multidrug resistance protein EbrB
multidrug efflux RND transporter permease subunit OqxB14
Transcriptional regulatory protein QseB
Beta-lactamase SHV-1
"Tetracycline resistance protein, class B"
phosphoethanolamine--lipid A transferase MCR-3.20
Pentapeptide repeat protein
Beta-lactamase CTX-M-1
HTH-type transcriptional regulator GadX
Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
DNA-binding transcriptional activator EvgA
Efflux pump membrane transporter BepE
phosphoethanolamine--lipid A transferase MCR-3.1
Transcriptional regulator SlyA
Nucleotide-binding protein ExpZ
Carbon storage regulator
tetracycline efflux MFS transporter Tet(K)
Multidrug resistance protein MdtE
Metallo-beta-lactamase type 2
Multidrug export protein MepA
multidrug efflux RND transporter permease subunit OqxB12
Beta-lactamase TEM
Quinolone resistance protein NorB
multidrug efflux RND transporter permease subunit OqxB15
LPS-assembly protein LptD
Multidrug resistance protein MdtM
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase"
Multidrug resistance protein MdtC
Multiple antibiotic resistance protein MarR
Kdo(2)-lipid A phosphoethanolamine 7''-transferase
multidrug efflux RND transporter permease subunit OqxB7
chloramphenicol efflux MFS transporter CmlA1
DNA-binding protein H-NS
Beta-lactamase
Dihydrofolate reductase type 1
Aminoglycoside 6-adenylyltransferase
Outer membrane protein A
multidrug efflux RND transporter permease subunit OqxB19
Kanamycin nucleotidyltransferase
Bifunctional riboflavin kinase/FMN adenylyltransferase
HTH-type transcriptional regulator TtgR
Lipid A export ATP-binding/permease protein MsbA
Multidrug efflux pump Tap
Multidrug efflux pump subunit AcrB
HTH-type transcriptional activator AmpR
Multidrug export protein EmrB
HTH-type transcriptional regulator MgrA
Glutathione transferase FosA
Redox-sensitive transcriptional activator SoxR
"Peptidoglycan D,D-transpeptidase FtsI"
2''-aminoglycoside nucleotidyltransferase
Metallothiol transferase FosB
Regulatory protein SdiA
"Tetracycline resistance protein, class C"
Spermidine export protein MdtJ
putative efflux pump membrane transporter TtgB
Bifunctional polymyxin resistance protein ArnA
quinupristin
azidamfenicol
thiamphenicol
kitasamycin
pristinamycin IA
colistin B
florfenicol
enoxacin
puromycin
tylosin
hygromycin B
enrofloxacin
netilmicin
patricin B
sulfasalazine
kasugamycin
polymyxin B1
linezolid
tigecycline
sparfloxacin
polymyxin B
oxytetracycline
flomoxef
levofloxacin
microcin J25
2-N-ethylnetilmicin
clarithromycin
rokitamycin
lividomycin
dibekacin
cloxacillin
trovafloxacin
benzylpenicillin
cefditoren
fosfomycin
spectinomycin
ticarcillin
ceftazidime
temocillin
daptomycin
doxycycline
roxithromycin
polymyxin B4
ertapenem
ampicillin
sulfadiazine
griseoviridin
amoxicillin
acriflavine
bacitracin A
chloramphenicol
bleomycinic acid
polymyxin B2
arbekacin
spiramycin
oxacillin
pristinamycin IB
sulfacetamide
bleomycin A2
cefazolin
grepafloxacin
colistin A
neomycin
minocycline
rifabutin
astromicin
meropenem
mupirocin
panipenem
ostreogrycin B3
kanamycin A
rifapentine
streptothricin
norfloxacin
nitrofurantoin
gentamicin
rifampin
sulfamethizole
demeclocycline
coumermycin A1
butirosin
lincomycin
rifaximin
dalfopristin
sulfisoxazole
ribostamycin
clindamycin
trimethoprim
nalidixic acid
sulfamethoxazole
bleomycin B2
benzalkonium chloride
cefixime
retapamulin
sisomicin
triclosan
novobiocin
ciprofloxacin
defensin
azithromycin
cefotetan
virginiamycin S2
erythromycin
bacitracin
apramycin
methicillin
gentamicin B
bicyclomycin
gentamicin A
telithromycin
bacitracin F
cefdinir
moenomycin A1
cefalotin
tetracycline
paromomycin
cefuroxime
oleandomycin
lomefloxacin
bacitracin B
vancomycin
cefaclor
chlortetracycline
BAL30072
virginiamycin M1
sulfadimidine
ceftriaxone
trimethoprim-sulfamethoxazole
isepamicin
moxalactam
dirithromycin
polymyxin B3
5-episisomicin
cefpirome
fusidic acid
ofloxacin
teicoplanin
amikacin
chlorhexidine
gentamicin C
tobramycin
bleomycin
moxifloxacin
sulfadoxine
imipenem
6-N-ethylnetilmicin
cefepime
G418
sitafloxacin
pirlimycin
tiamulin
gatifloxacin
streptomycin
patricin A
cefotaxime
mafenide
clorobiocin
piperacillin
pulvomycin
vernamycin C
pristinamycin IC
cefoxitin
aztreonam
pefloxacin
metronidazole
madumycin II
glycylcycline
fluoroquinolone antibiotic
phosphonic acid antibiotic
pleuromutilin antibiotic
lincosamide antibiotic
bicyclomycin-like antibiotic
moenomycin antibiotic
aminoglycoside antibiotic
glycopeptide antibiotic
penicillin beta-lactam
disinfecting agents and antiseptics
macrolide antibiotic
nucleoside antibiotic
carbapenem
nitroimidazole antibiotic
isoniazid-like antibiotic
elfamycin antibiotic
diaminopyrimidine antibiotic
aminocoumarin antibiotic
rifamycin antibiotic
streptogramin A antibiotic
peptide antibiotic
fusidane antibiotic
oxazolidinone antibiotic
tetracycline antibiotic
sulfonamide antibiotic
nitrofuran antibiotic
mupirocin-like antibiotic
cephalosporin
phenicol antibiotic
streptogramin B antibiotic
monobactam
streptogramin antibiotic
ATP-binding cassette (ABC) antibiotic efflux pump
Intrinsic peptide antibiotic resistant Lps
small multidrug resistance (SMR) antibiotic efflux pump
sulfonamide resistant sul
APH(4)
ampC-type beta-lactamase
macrolide esterase
GES beta-lactamase
resistance-nodulation-cell division (RND) antibiotic efflux pump
antibiotic-resistant UhpT
antibiotic-resistant murA transferase
macrolide phosphotransferase (MPH)
16S rRNA methyltransferase (G1405)
undecaprenyl pyrophosphate related proteins
fosfomycin thiol transferase
Target protecting FusB-type protein conferring resistance to Fusidic acid
tetracycline inactivation enzyme
major facilitator superfamily (MFS) antibiotic efflux pump
OXA-10-like beta-lactamase
BlaZ beta-lactamase
CMY beta-lactamase
KPC beta-lactamase
ANT(4)
sal-type ABC-F protein
General Bacterial Porin with reduced permeability to peptide antibiotics
fluoroquinolone resistant parC
APH(3)
AAC(3)
ADC beta-lactamases pending classification for carbapenemase activity
glycopeptide resistance gene cluster
General Bacterial Porin with reduced permeability to beta-lactams
MCR phosphoethanolamine transferase
msr-type ABC-F protein
PDC beta-lactamase
POM beta-lactamase
OXA-1-like beta-lactamase
IMP beta-lactamase
vanT
lincosamide nucleotidyltransferase (LNU)
OXA-134-like beta-lactamase
ANT(9)
OXY beta-lactamase
AAC(6)
OXA-23-like beta-lactamase
AAC(6)-Ib-cr
DHA beta-lactamase
antibiotic resistant fabI
kdpDE
multidrug and toxic compound extrusion (MATE) transporter
vanY
FOX beta-lactamase
aminoglycoside bifunctional resistance protein
ANT(6)
antibiotic resistant fusA
OKP beta-lactamase
triclosan resistant gyrA
antibiotic resistant nfsA
ACC beta-lactamase
ACT beta-lactamase
tetracycline-resistant ribosomal protection protein
defensin resistant mprF
OXA-9-like beta-lactamase
fluoroquinolone resistant gyrB
sulfonamide resistant dihydropteroate synthase folP
Van ligase
OXA-51-like beta-lactamase
TEM beta-lactamase
PER beta-lactamase
OXA-294-like beta-lactamase
OXA beta-lactamase
VIM beta-lactamase
PAC beta-lactamase
CARB beta-lactamase
OXA-48-like beta-lactamase
SHV beta-lactamase
trimethoprim resistant dihydrofolate reductase dfr
OXA-2-like beta-lactamase
CTX-M beta-lactamase
AAC(2)
VEB beta-lactamase
LEN beta-lactamase
Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics
rifampin ADP-ribosyltransferase (Arr)
antibiotic-resistant isoleucyl-tRNA synthetase (ileS)
OXA-213-like beta-lactamase
vanW
LAP beta-lactamase
ORN beta-lactamase
MIR beta-lactamase
quinolone resistance protein (qnr)
ANT(2)
methicillin resistant PBP2
NDM beta-lactamase
APH(6)
CMH beta-lactamase
ADC beta-lactamase without carbapenemase activity
chloramphenicol acetyltransferase (CAT)
elfamycin resistant EF-Tu
streptothricin acetyltransferase (SAT)
ANT(3)
OXA-58-like beta-lactamase
fluoroquinolone resistant gyrA
IMI beta-lactamase
Erm 23S ribosomal RNA methyltransferase
vanH
antibiotic-resistant GlpT
Bleomycin resistant protein
SFO beta-lactamase
pmr phosphoethanolamine transferase
OXA-50-like beta-lactamase
OXA-24-like beta-lactamase
CKO beta-lactamase
SED beta-lactamase
antibiotic-resistant cya adenylate cyclase
Outer Membrane Porin (Opr)
aminocoumarin resistant gyrB
EC beta-lactamase
SRT beta-lactamase
kmer_0_pca
kmer_1_pca
kmer_2_pca
kmer_3_pca
kmer_4_pca
kmer_5_pca
kmer_6_pca
kmer_7_pca
kmer_8_pca
kmer_9_pca
kmer_10_pca
kmer_11_pca
kmer_12_pca
kmer_13_pca
kmer_14_pca
kmer_15_pca
kmer_16_pca
kmer_17_pca
kmer_18_pca
kmer_19_pca
Organism_Code
